0:00:00,0:15:00,0:30:00,0:45:00,1:00:00,1:15:00,1:30:00,1:45:00,2:00:00,2:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00
9057.9321,8936.2161,8856.3491,8751.8981,8746.4421,8570.3911,8521.5401,8445.3611,8366.0581,8421.8521,8231.8671,8266.2941,8258.7301,8264.6031,8201.4951,8174.0551,8008.8201,8042.8121,7952.1801,8039.5271,8009.9721,8145.6351,8324.2641,8396.1711,8696.6051,9065.1711,9577.2641,9859.0391,10038.7201,10049.4541,10024.7281,10165.0721,10352.3626,10748.0846,10985.3806,11223.9386,11422.1866,11413.1416,11565.9326,11660.1326,11818.2436,11804.1676,11884.0576,11979.5956,12074.3446,12042.6316,11993.6736,11769.6846,11329.4756,10824.0346,10722.8336,10718.7446,10627.9316,10589.8036,10689.6846,10729.0566,10827.1276,11002.6816,11164.9916,11207.7616,11322.1346,11358.1776,11459.2286,11450.3826,11376.8946,11693.0796,11931.5926,12286.5546,12597.9496,12887.6116,12850.3166,12799.1536,12652.5146,12500.2016,12319.2086,12467.0456,12425.9426,12522.8536,12733.7256,12723.5406,12583.4826,12423.3786,12326.9506,12160.8476,12017.7246,12024.7656,11912.0736,11687.7566,11419.7416,11138.0546,10871.1776,10599.7896,10301.5246,10068.4686,9861.7286,9690.2606
8825.5606,8703.8446,8623.9776,8519.5266,8514.0706,8338.0196,8289.1686,8212.9896,8133.6866,8189.4806,7999.4956,8033.9226,8026.3586,8032.2316,7969.1236,7941.6836,7776.4486,7810.4406,7719.8086,7807.1556,7777.6006,7913.2636,8091.8926,8163.7996,8464.2336,8832.7996,9344.8926,9626.6676,9806.3486,9817.0826,9792.3566,9932.7006,10122.6176,10518.3396,10755.6356,10994.1936,11192.4416,11183.3966,11336.1876,11430.3876,11588.4986,11574.4226,11654.3126,11749.8506,11844.5996,11812.8866,11763.9286,11539.9396,11099.7306,10594.2896,10493.0886,10488.9996,10398.1866,10360.0586,10459.9396,10499.3116,10597.3826,10772.9366,10935.2466,10978.0166,11092.3896,11128.4326,11229.4836,11220.6376,11147.1496,11463.3346,11701.8476,12056.8096,12368.2046,12657.8666,12620.5716,12569.4086,12422.7696,12270.4566,12089.4636,12237.3006,12196.1976,12293.1086,12503.9806,12493.7956,12353.7376,12193.6336,12097.2056,11931.1026,11787.9796,11795.0206,11682.3286,11458.0116,11189.9966,10908.3096,10641.4326,10370.0446,10071.7796,9838.7236,9631.9836,9460.5156 
8831.7188,8710.0028,8630.1358,8525.6848,8520.2288,8344.1778,8295.3268,8219.1478,8139.8448,8195.6388,8005.6538,8040.0808,8032.5168,8038.3898,7975.2818,7947.8418,7782.6068,7816.5988,7725.9668,7813.3138,7783.7588,7919.4218,8098.0508,8169.9578,8470.3918,8838.9578,9351.0508,9632.8258,9812.5068,9823.2408,9798.5148,9938.8588,10096.4291,10492.1511,10729.4471,10968.0051,11166.2531,11157.2081,11309.9991,11404.1991,11562.3101,11548.2341,11628.1241,11723.6621,11818.4111,11786.6981,11737.7401,11513.7511,11073.5421,10568.1011,10466.9001,10462.8111,10371.9981,10333.8701,10433.7511,10473.1231,10571.1941,10746.7481,10909.0581,10951.8281,11066.2011,11102.2441,11203.2951,11194.4491,11120.9611,11437.1461,11675.6591,12030.6211,12342.0161,12631.6781,12594.3831,12543.2201,12396.5811,12244.2681,12063.2751,12211.1121,12170.0091,12266.9201,12477.7921,12467.6071,12327.5491,12167.4451,12071.0171,11904.9141,11761.7911,11768.8321,11656.1401,11431.8231,11163.8081,10882.1211,10615.2441,10343.8561,10045.5911,9812.5351,9605.7951,9434.3271 
8888.2395,8766.5235,8686.6565,8582.2055,8576.7495,8400.6985,8351.8475,8275.6685,8196.3655,8252.1595,8062.1745,8096.6015,8089.0375,8094.9105,8031.8025,8004.3625,7839.1275,7873.1195,7782.4875,7869.8345,7840.2795,7975.9425,8154.5715,8226.4785,8526.9125,8895.4785,9407.5715,9689.3465,9869.0275,9879.7615,9855.0355,9995.3795,10187.2907,10583.0127,10820.3087,11058.8667,11257.1147,11248.0697,11400.8607,11495.0607,11653.1717,11639.0957,11718.9857,11814.5237,11909.2727,11877.5597,11828.6017,11604.6127,11164.4037,10658.9627,10557.7617,10553.6727,10462.8597,10424.7317,10524.6127,10563.9847,10662.0557,10837.6097,10999.9197,11042.6897,11157.0627,11193.1057,11294.1567,11285.3107,11211.8227,11528.0077,11766.5207,12121.4827,12432.8777,12722.5397,12685.2447,12634.0817,12487.4427,12335.1297,12154.1367,12301.9737,12260.8707,12357.7817,12568.6537,12558.4687,12418.4107,12258.3067,12161.8787,11995.7757,11852.6527,11859.6937,11747.0017,11522.6847,11254.6697,10972.9827,10706.1057,10434.7177,10136.4527,9903.3967,9696.6567,9525.1887 
9090.1587,8968.4427,8888.5757,8784.1247,8778.6687,8602.6177,8553.7667,8477.5877,8398.2847,8454.0787,8264.0937,8298.5207,8290.9567,8296.8297,8233.7217,8206.2817,8041.0467,8075.0387,7984.4067,8071.7537,8042.1987,8177.8617,8356.4907,8428.3977,8728.8317,9097.3977,9609.4907,9891.2657,10070.9467,10081.6807,10056.9547,10197.2987,10321.6035,10717.3255,10954.6215,11193.1795,11391.4275,11382.3825,11535.1735,11629.3735,11787.4845,11773.4085,11853.2985,11948.8365,12043.5855,12011.8725,11962.9145,11738.9255,11298.7165,10793.2755,10692.0745,10687.9855,10597.1725,10559.0445,10658.9255,10698.2975,10796.3685,10971.9225,11134.2325,11177.0025,11291.3755,11327.4185,11428.4695,11419.6235,11346.1355,11662.3205,11900.8335,12255.7955,12567.1905,12856.8525,12819.5575,12768.3945,12621.7555,12469.4425,12288.4495,12436.2865,12395.1835,12492.0945,12702.9665,12692.7815,12552.7235,12392.6195,12296.1915,12130.0885,11986.9655,11994.0065,11881.3145,11656.9975,11388.9825,11107.2955,10840.4185,10569.0305,10270.7655,10037.7095,9830.9695,9659.5015 
8790.6367,8661.5007,8554.9007,8480.6947,8399.2627,8375.9487,8228.4717,8152.8347,8021.8857,7934.2097,7948.2137,7891.3397,7830.5337,7842.7427,7832.9287,7776.2807,7835.7067,7741.6757,7711.0427,7768.2467,7806.4757,7825.4277,7936.8147,8022.9927,8335.7307,8894.2457,9341.3567,9652.4927,9740.4397,9902.2427,9874.3527,9939.8557,9934.7298,10387.0188,10712.8858,10907.6588,11136.5048,11219.9608,11363.9278,11448.2158,11427.2258,11481.7788,11648.7898,11712.2538,11820.1518,11847.2428,11714.0778,11542.8448,11169.7148,10755.3838,10664.1448,10536.3718,10439.4318,10532.1358,10675.8988,10858.1138,10798.4358,10921.3198,10982.0728,11206.8138,11309.5308,11194.4948,11292.3468,11291.8458,11411.2938,11518.6138,11607.5238,11753.8208,12059.7218,12258.7838,12315.7508,12212.9778,12190.5448,12190.6958,12130.9948,12141.0888,12233.3538,12472.2698,12683.5858,12716.8018,12497.7158,12389.4328,12312.3288,12091.7078,11942.5078,11850.3528,11791.7718,11604.2738,11358.7888,11059.0978,10685.1138,10382.6408,10185.0298,9894.2468,9690.2508,9260.0588 
8838.7457,8717.0297,8637.1627,8532.7117,8527.2557,8351.2047,8302.3537,8226.1747,8146.8717,8202.6657,8012.6807,8047.1077,8039.5437,8045.4167,7982.3087,7954.8687,7789.6337,7823.6257,7732.9937,7820.3407,7790.7857,7926.4487,8105.0777,8176.9847,8477.4187,8845.9847,9358.0777,9639.8527,9819.5337,9830.2677,9805.5417,9945.8857,10099.4182,10495.1402,10732.4362,10970.9942,11169.2422,11160.1972,11312.9882,11407.1882,11565.2992,11551.2232,11631.1132,11726.6512,11821.4002,11789.6872,11740.7292,11516.7402,11076.5312,10571.0902,10469.8892,10465.8002,10374.9872,10336.8592,10436.7402,10476.1122,10574.1832,10749.7372,10912.0472,10954.8172,11069.1902,11105.2332,11206.2842,11197.4382,11123.9502,11440.1352,11678.6482,12033.6102,12345.0052,12634.6672,12597.3722,12546.2092,12399.5702,12247.2572,12066.2642,12214.1012,12172.9982,12269.9092,12480.7812,12470.5962,12330.5382,12170.4342,12074.0062,11907.9032,11764.7802,11771.8212,11659.1292,11434.8122,11166.7972,10885.1102,10618.2332,10346.8452,10048.5802,9815.5242,9608.7842,9437.3162 
